CRASH TIME (HRS),DATE,DAY,LOCATION,PROBABLE CAUSE(S) OF RTC,ROUTE,VEHICLE CATEGORY,VEHICLE CLASS,Timestamp,month,X    ,Y
710,7/21/2017,FRI,3KMRM WINNER-UNDER BRIDGE OJA WASO,RTV,OGB-ILN,CAR/  MC,PVT/  PVT,8/19/2017 14:00,7,3.9093001,7.5542798
2202,7/23/2017,SUN,KM2-AWE JCTN,"DGD,LSV",OYO-OGB,MC/   MC,PVT/   PVT,10/22/2017 18:00,7,3.91645,7.6091499
1112,7/29/2017,SAT,KM16-FIDITI,SPV,OYO-IBD,BUS,COMM,9/13/2017 8:00,7,3.9126,7.6716299
1840,7/29/2017,SAT,4KM 4RM ODOOBA-IBAPON,WOV,OGB-ILN,CAR/    CAR,COMM/    PVT,10/13/2017 16:00,7,3.9182301,7.7175899
2011,7/30/2017,SUN,KM4-MR BIGGS,WOV,OGB-ILN,MC/   MC,COMM/  PVT,10/21/2017 19:00,7,3.9362299,7.71457
1235,03/08/2017,THU,3KM 4RM ODOOBA-ILE ABU,WOV,OGB-OYO,BUS/    TRL/     TRK/   CAR,COMM/   COMM/    COMM/  PVT,4/28/2017 11:00,3,3.98874,7.7177701
1330,03/08/2017,THU,KM4-BODE THOMAS,WOV,OYO-OGB,CAR,PVT,05/02/2017 10:00,3,4.0046701,7.7049499
1130,11/08/2017,FRI,6KM 4RM LAUTECH-GAMBARI,SPV,OGB-ILN,BUS,COMM,12/25/2017 2:00,11,4.0254202,7.6987901
845,12/08/2017,SAT,4KM 4RM HIGH SCH-OLOPE MARUN,WOV,OGB-OYO,TRK/    MC,COMM/  PVT,01/12/2018 05:00,12,4.0480399,7.68644
1228,8/14/2017,MON,KM3-ORIAWO,DGD,OYO-OGB,TNK,COMM,10/04/2017 04:00,8,4.08216,7.67803
2059,8/14/2017,MON,KM2-AWE JCTN,WOV,OYO-OGB,BUS/  MC,COMM/  COMM,11/07/2017 19:00,8,4.07517,7.7069502
1630,8/18/2017,FRI,"KM6-ILE ABU, SEKONA",SPV,OGB-OYO,CAR/  CAR,PVT/   PVT,10/24/2017 22:00,8,4.0520802,7.72574
730,8/23/2017,WED,KM18-FIDITI,SPV,OYO-IBD,SUV,PVT,9/22/2017 10:00,8,4.0520802,7.72574
950,8/30/2017,WED,"KM3- OPP RCC, IDI OSE",SPV,IBD-OYO,MC/    TRL,COMM/  COMM,10/08/2017 14:00,8,4.03372,7.7427101
1043,8/30/2017,WED,KM15-JOBELE,"SPV,OLV",OYO-IBD,BUS,COMM,10/12/2017 11:00,8,4.0221,7.7602901
1445,02/09/2017,SAT,"KM5-POWER LINE, LABI",SPV,IBD-OYO,TNK/       SUV,COMM/  PVT,04/10/2017 05:00,2,4.0221,7.7602901
900,05/09/2017,TUE,3KM 4RM LAUTH-AROJE VILLAGE,SPV,OGB-ILN,BUS/   MC,PVT/  PVT,6/15/2017 12:00,5,4.0091801,7.78163
410,9/17/2017,SUN,KM 3-HIGH SCH JUCT,BRF,OGB-OYO,TRK/   BUS,COMM/    COMM,10/04/2017 02:00,9,3.95804,7.8222098
900,9/24/2017,SUN,6KM FROM IBD-AKINYELE,WOV,OYO-IBD,CAR/      TRK,PVT/  COMM,10/31/2017 12:00,9,3.91682,7.8113098
1330,9/25/2017,MON,KM17-ALAGBON,TBT,OYO-OGB,BUS,COMM,11/19/2017 10:00,9,3.91781,7.7855902
2100,04/10/2017,WED,KM6-OFAMETA,WOV,OYO-OGB,P.UP,COMM,07/06/2017 12:00,4,3.89554,7.8003602
610,10/10/2017,TUE,KM6-BODE THOMAS,"SPV,OBS",OYO-OGB,TNK/   TRL/        BUS,COMM/    COMM/    COMM,11/04/2017 10:00,10,3.9214101,7.7712798
1505,10/10/2017,TUE,KM14-FIDITI,SPV,OYO-IBD,BUS,COMM,12/11/2017 17:00,10,3.9266901,7.8238502
1146,10/17/2017,TUE,KM2-ORIAWO JCTN,SPV,OYO-OGB,TRK,COMM,12/03/2017 18:00,10,3.91887,7.8365102
1255,10/18/2017,WED,KM13.3-ABA LAWYER,SPV,OYO-OGB,BUS,COMM,12/09/2017 07:00,10,3.9221699,7.8495102
1415,02/11/2017,THU,KM13-CUSTOM AREA,WOV,OYO-OGB,BUS/   MC,COMM/  COMM,04/10/2017 23:00,2,3.96508,7.8818102
